pattern,prev
parking.toilets,0.05555555555555555
bicycle_rental.telephone,0.08695652173913043
bicycle_rental.toilets,0.11627906976744186
charging_station.post,0.05357142857142857
finance.post,0.08928571428571429
bench.toilets,0.06164383561643835
parking.restaurant,0.050966608084358524
charging_station.parking,0.07407407407407407
bar.finance,0.11827956989247312
fountain.telephone,0.10526315789473684
nightclub.telephone,0.05263157894736842
charging_station.telephone,0.07407407407407407
cafe.telephone,0.05190311418685121
bicycle_parking.telephone,0.07543520309477757
nightclub.toilets,0.06976744186046512
cafe.post,0.1314878892733564
post.toilets,0.07142857142857142
bar.recycling,0.053763440860215055
bicycle_rental.recycling,0.14285714285714285
bench.bicycle_parking,0.0851063829787234
finance.telephone.toilets,0.07894736842105263
bar.restaurant,0.4147627416520211
bicycle_parking.cafe.restaurant,0.2011605415860735
cafe.restaurant.toilets,0.054481546572934976
restaurant.toilets,0.0984182776801406
restaurant.telephone,0.0773286467486819
recycling.restaurant,0.07381370826010544
cafe.restaurant,0.562390158172232
finance.leisure,0.05263157894736842
leisure.toilets,0.06666666666666667
cafe.toilets,0.08650519031141868
bicycle_rental.leisure,0.06666666666666667
bar.cafe.restaurant,0.23022847100175747
post.recycling,0.16071428571428573
bar.nightclub,0.0967741935483871
recycling.toilets,0.11627906976744186
bicycle_parking.post.restaurant,0.061511423550087874
bicycle_parking.cafe,0.28433268858800775
bar.cafe.finance,0.058823529411764705
charging_station.embassy,0.1111111111111111
finance.telephone,0.15789473684210525
bar.finance.restaurant,0.054481546572934976
post.telephone,0.08928571428571429
cafe.leisure,0.08650519031141868
nightclub.restaurant,0.056239015817223195
bicycle_parking.bicycle_rental,0.05415860735009671
bicycle_rental.fountain,0.08695652173913043
bicycle_rental.finance,0.18421052631578946
bar.bicycle_parking.restaurant,0.16054158607350097
leisure.social_facility,0.06666666666666667
cafe.fountain,0.05190311418685121
finance.recycling,0.05263157894736842
bar.post,0.13440860215053763
cafe.finance.restaurant,0.06678383128295255
recycling.telephone,0.11428571428571428
embassy.parking,0.07407407407407407
bar.bicycle_parking.cafe.restaurant,0.08317214700193423
finance.nightclub,0.05263157894736842
finance.restaurant,0.11423550087873462
finance.toilets,0.07894736842105263
bicycle_parking.post,0.11605415860735009
cafe.finance,0.11072664359861592
bar.leisure,0.0967741935483871
parking.telephone,0.05555555555555555
bar.bicycle_parking,0.23017408123791103
bar.bicycle_parking.cafe,0.10831721470019343
leisure.restaurant,0.054481546572934976
bicycle_parking.toilets,0.08704061895551257
charging_station.recycling,0.05714285714285714
bicycle_parking.restaurant,0.43936731107205623
telephone.toilets,0.18604651162790697
bicycle_parking.finance,0.07156673114119923
bicycle_rental.telephone.toilets,0.06976744186046512
bar.cafe,0.39792387543252594
bar.restaurant.toilets,0.05272407732864675
post.restaurant,0.1195079086115993
cafe.recycling,0.07612456747404844
bicycle_parking.recycling,0.07543520309477757
cafe.post.restaurant,0.054481546572934976
bar.toilets,0.10215053763440861
bicycle_parking.restaurant.telephone,0.05609284332688588
bicycle_rental.education,0.07142857142857142
leisure.post,0.07142857142857142
